logg,Teff,a,b
3,5700,0.3739,0.249
3.5,5700,0.3741,0.2255
4,5700,0.3726,0.2129
4.5,5700,0.371,0.2094
5,5700,0.3536,0.2239
5.5,5700,0.3502,0.2287
6,5700,0.349,0.234
2.5,5800,0.3622,0.3078
3,5800,0.3661,0.2532
3.5,5800,0.3704,0.2275
4,5800,0.3662,0.214
4.5,5800,0.3495,0.2247
5,5800,0.3444,0.2266
5.5,5800,0.3402,0.2317
6,5800,0.3384,0.2373
2.5,5900,0.3539,0.3109
3,5900,0.3594,0.2554
3.5,5900,0.3596,0.2317
4,5900,0.3599,0.215
4.5,5900,0.3454,0.2253
5,5900,0.3359,0.2288
5.5,5900,0.3347,0.2324
6,5900,0.3287,0.2396
2.5,6000,0.3484,0.3103
3,6000,0.3534,0.2565
3.5,6000,0.354,0.2321
4,6000,0.354,0.2157
4.5,6000,0.3345,0.2282
5,6000,0.3283,0.23
5.5,6000,0.3229,0.2352
6,6000,0.3223,0.2406
2.5,6100,0.3381,0.3177
3,6100,0.3468,0.2586
3.5,6100,0.3494,0.2332
4,6100,0.3507,0.2158
4.5,6100,0.3276,0.2297
5,6100,0.3237,0.2306
5.5,6100,0.3148,0.237
6,6100,0.2964,0.2582
2.5,6200,0.3339,0.3162
3,6200,0.3398,0.2612
3.5,6200,0.3425,0.2339
4,6200,0.3451,0.216
4.5,6200,0.3216,0.2301
5,6200,0.3166,0.2318
5.5,6200,0.2945,0.2519
6,6200,0.2815,0.2641
2.5,6300,0.3217,0.3251
3,6300,0.333,0.2637
3.5,6300,0.3374,0.2348
4,6300,0.3383,0.2164
4.5,6300,0.3174,0.2305
5,6300,0.3089,0.2314
5.5,6300,0.2821,0.2566
6,6300,0.2714,0.2675
2.5,6400,0.3181,0.3235
3,6400,0.3257,0.2667
3.5,6400,0.3309,0.2359
4,6400,0.3332,0.2167
4.5,6400,0.3115,0.2298
5,6400,0.303,0.2325
5.5,6400,0.2727,0.2584
6,6400,0.2621,0.27
2.5,6500,0.31,0.3271
3,6500,0.3182,0.2701
3.5,6500,0.3237,0.2388
4,6500,0.3276,0.218
4.5,6500,0.3079,0.2295
5,6500,0.2982,0.2322
5.5,6500,0.2674,0.2591
6,6500,0.2555,0.2692
2.5,6600,0.3022,0.3279
3,6600,0.3107,0.2732
3.5,6600,0.3176,0.2406
4,6600,0.3215,0.2192
4.5,6600,0.3014,0.231
5,6600,0.2939,0.2316
5.5,6600,0.2603,0.2596
6,6600,0.248,0.2704
2.5,6700,0.2895,0.3402
3,6700,0.3034,0.2759
3.5,6700,0.3089,0.2445
4,6700,0.3158,0.2206
4.5,6700,0.2969,0.2312
5,6700,0.2895,0.2314
5.5,6700,0.2553,0.2596
6,6700,0.2415,0.2712
2.5,6800,0.2783,0.344
3,6800,0.2962,0.2775
3.5,6800,0.3011,0.2475
4,6800,0.3096,0.2225
4.5,6800,0.293,0.2308
5,6800,0.2856,0.2312
5.5,6800,0.2506,0.2596
6,6800,0.2357,0.2715
2.5,6900,0.2712,0.3457
3,6900,0.2888,0.2795
3.5,6900,0.2964,0.2488
4,6900,0.3026,0.2256
4.5,6900,0.2892,0.2305
5,6900,0.2816,0.2312
5.5,6900,0.2466,0.2593
6,6900,0.2305,0.2714
2.5,7000,0.2653,0.3476
3,7000,0.2818,0.2804
3.5,7000,0.2894,0.2507
4,7000,0.2961,0.2276
4.5,7000,0.2847,0.231
5,7000,0.2779,0.2307
5.5,7000,0.2424,0.2592
6,7000,0.2258,0.2713
2.5,7200,0.2488,0.3512
3,7200,0.2663,0.2837
3.5,7200,0.276,0.2529
4,7200,0.2801,0.2331
4.5,7200,0.2757,0.2311
5,7200,0.2702,0.2298
5.5,7200,0.2357,0.258
6,7200,0.2179,0.2704
2.5,7400,0.234,0.356
3,7400,0.2515,0.2881
3.5,7400,0.2605,0.2581
4,7400,0.2683,0.2357
4.5,7400,0.2438,0.2464
5,7400,0.2619,0.2305
5.5,7400,0.2288,0.2574
6,7400,0.2109,0.2692
2.5,7600,0.2188,0.3618
3,7600,0.2359,0.2922
3.5,7600,0.2458,0.2616
4,7600,0.2353,0.2551
4.5,7600,0.2559,0.2329
5,7600,0.254,0.2299
5.5,7600,0.2222,0.2569
6,7600,0.2043,0.2687
2.5,7800,0.2047,0.3641
3,7800,0.2214,0.2969
3.5,7800,0.2217,0.2718
4,7800,0.2396,0.2457
4.5,7800,0.2448,0.2339
5,7800,0.2448,0.2304
5.5,7800,0.2162,0.2555
6,7800,0.1987,0.2672
2.5,8000,0.1929,0.3691
3,8000,0.2074,0.3033
3.5,8000,0.216,0.27
4,8000,0.2273,0.2465
4.5,8000,0.2331,0.2353
5,8000,0.2355,0.2307
5.5,8000,0.2013,0.2473
6,8000,0.1933,0.2654
2.5,8200,0.1814,0.3822
3,8200,0.1961,0.3058
3.5,8200,0.2039,0.271
4,8200,0.2147,0.2467
4.5,8200,0.221,0.2358
5,8200,0.2254,0.2286
5.5,8200,0.1953,0.2466
6,8200,0.1866,0.2657
2.5,8400,0.1741,0.3912
3,8400,0.1883,0.3059
3.5,8400,0.1943,0.2707
4,8400,0.2042,0.2456
4.5,8400,0.2093,0.2355
5,8400,0.2149,0.2288
5.5,8400,0.1949,0.2431
6,8400,0.1827,0.262
2.5,8600,0.1678,0.4012
3,8600,0.1829,0.3066
3.5,8600,0.1872,0.2693
4,8600,0.1911,0.2468
4.5,8600,0.1983,0.235
5,8600,0.2042,0.2284
5.5,8600,0.2084,0.2261
6,8600,0.1793,0.2578
2.5,8800,0.1605,0.4181
3,8800,0.1788,0.3096
3.5,8800,0.1821,0.2687
4,8800,0.1838,0.2463
4.5,8800,0.1887,0.2337
5,8800,0.1933,0.2273
5.5,8800,0.1994,0.2241
6,8800,0.1753,0.2537
2.5,9000,0.1692,0.4017
3,9000,0.1748,0.3151
3.5,9000,0.1786,0.2684
4,9000,0.1791,0.2436
4.5,9000,0.1796,0.2326
5,9000,0.1849,0.2245
5.5,9000,0.1893,0.2233
6,9000,0.173,0.2473
2.5,9200,0.1622,0.4195
3,9200,0.1746,0.3136
3.5,9200,0.1754,0.2695
4,9200,0.1748,0.2433
4.5,9200,0.174,0.2313
5,9200,0.1766,0.2239
5.5,9200,0.18,0.2209
6,9200,0.1729,0.2368
2.5,9400,0.1534,0.4409
3,9400,0.1705,0.3206
3.5,9400,0.1721,0.2726
4,9400,0.1714,0.2437
4.5,9400,0.1701,0.23
5,9400,0.1693,0.2225
5.5,9400,0.173,0.2188
6,9400,0.1673,0.2272
2.5,9600,0.1437,0.4632
3,9600,0.1656,0.3285
3.5,9600,0.1687,0.2764
4,9600,0.1687,0.2447
4.5,9600,0.1669,0.2313
5,9600,0.1644,0.2221
5.5,9600,0.1663,0.2184
6,9600,0.169,0.2189
2.5,9800,0.1324,0.4875
3,9800,0.1601,0.3375
3.5,9800,0.1648,0.2815
4,9800,0.1655,0.2473
4.5,9800,0.1631,0.2314
5,9800,0.1606,0.2217
5.5,9800,0.1593,0.2181
6,9800,0.1624,0.2174
2.5,10000,0.1211,0.5102
3,10000,0.154,0.3467
3.5,10000,0.1605,0.2868
4,10000,0.1621,0.2508
4.5,10000,0.1602,0.2331
5,10000,0.1571,0.2224
5.5,10000,0.1549,0.218
6,10000,0.1575,0.2159
2.5,10200,0.1087,0.5342
3,10200,0.1467,0.3573
3.5,10200,0.1561,0.2924
4,10200,0.1588,0.2544
4.5,10200,0.1573,0.2352
5,10200,0.1539,0.2237
5.5,10200,0.151,0.2186
6,10200,0.152,0.2158
2.5,10400,0.0964,0.5566
3,10400,0.1388,0.3678
3.5,10400,0.1512,0.2978
4,10400,0.1552,0.2583
4.5,10400,0.1543,0.238
5,10400,0.151,0.2254
5.5,10400,0.1474,0.2196
6,10400,0.1459,0.217
2.5,10600,0.0852,0.5753
3,10600,0.1307,0.3778
3.5,10600,0.146,0.3026
4,10600,0.1512,0.2621
4.5,10600,0.1512,0.241
5,10600,0.1481,0.2275
5.5,10600,0.1442,0.221
6,10600,0.1421,0.2177
2.5,10800,0.0748,0.5912
3,10800,0.1228,0.3864
3.5,10800,0.1408,0.3069
4,10800,0.147,0.2659
4.5,10800,0.1479,0.244
5,10800,0.1453,0.2299
5.5,10800,0.1411,0.2228
6,10800,0.1387,0.2187
2.5,11000,0.0949,0.5372
3,11000,0.1153,0.3935
3.5,11000,0.1355,0.3107
4,11000,0.1426,0.2695
4.5,11000,0.1444,0.2471
5,11000,0.1424,0.2322
5.5,11000,0.1383,0.2248
6,11000,0.1354,0.2201
2.5,11200,0.0883,0.5437
3,11200,0.1088,0.3989
3.5,11200,0.1306,0.3133
4,11200,0.1381,0.2727
4.5,11200,0.1406,0.2502
5,11200,0.1394,0.2346
5.5,11200,0.1357,0.2263
6,11200,0.1328,0.2245
2.5,11400,0.0823,0.5502
3,11400,0.1028,0.4027
3.5,11400,0.1272,0.3062
4,11400,0.1338,0.2741
