logg,Teff,u,a,b
3.5,6600,0.5882,0.4169,0.2541
4,6600,0.5755,0.4202,0.2307
4.5,6600,0.5366,0.3727,0.2436
5,6600,0.5489,0.3821,0.248
5.5,6600,0.5197,0.3462,0.2581
3,6700,0.6346,0.3255,0.4569
3.5,6700,0.5833,0.4028,0.2676
4,6700,0.5706,0.4087,0.2403
4.5,6700,0.5318,0.364,0.2494
5,6700,0.5441,0.3735,0.2538
5.5,6700,0.5148,0.3391,0.2614
3,6800,0.6353,0.2928,0.5062
3.5,6800,0.579,0.3882,0.2828
4,6800,0.5659,0.3971,0.2507
4.5,6800,0.5572,0.3984,0.236
5,6800,0.5393,0.3651,0.2592
5.5,6800,0.5095,0.3322,0.2637
3,6900,0.6408,0.2686,0.5497
3.5,6900,0.5744,0.3734,0.2978
4,6900,0.5611,0.3852,0.2612
4.5,6900,0.5523,0.3877,0.2446
5,6900,0.5345,0.3563,0.265
5.5,6900,0.5045,0.3256,0.2661
3,7000,0.6378,0.2275,0.6059
3.5,7000,0.5695,0.3576,0.3139
4,7000,0.5558,0.3722,0.2726
4.5,7000,0.5473,0.3765,0.2538
5,7000,0.5295,0.3473,0.2709
5.5,7000,0.4999,0.319,0.2692
3,7200,0.639,0.1658,0.6984
3.5,7200,0.5596,0.3243,0.3485
4,7200,0.5451,0.345,0.2969
4.5,7200,0.5367,0.3529,0.2731
5,7200,0.5193,0.3275,0.2852
5.5,7200,0.4918,0.3052,0.2777
3,7400,0.6359,0.1071,0.7802
3.5,7400,0.5492,0.2888,0.3854
4,7400,0.5333,0.316,0.3223
4.5,7400,0.5255,0.3276,0.2939
5,7400,0.5085,0.3055,0.3018
5.5,7400,0.5014,0.303,0.2952
3,7600,0.6379,0.0638,0.8469
3.5,7600,0.5378,0.2527,0.4218
4,7600,0.5209,0.2865,0.3476
4.5,7600,0.5136,0.3013,0.3154
5,7600,0.4968,0.283,0.3179
5.5,7600,0.4909,0.2832,0.309
3,7800,0.5995,-0.0497,0.9575
3.5,7800,0.531,0.2074,0.4786
4,7800,0.508,0.2573,0.3717
4.5,7800,0.5007,0.2741,0.3366
5,7800,0.4847,0.2594,0.3349
5.5,7800,0.4795,0.2622,0.3233
3,8000,0.6076,-0.0634,0.9895
3.5,8000,0.5263,0.166,0.5327
4,8000,0.4949,0.2303,0.3921
4.5,8000,0.4872,0.2475,0.3559
5,8000,0.4712,0.2356,0.3502
5.5,8000,0.4672,0.2404,0.3373
3,8200,0.6382,-0.0134,0.9607
3.5,8200,0.5263,0.1489,0.5581
4,8200,0.4835,0.2103,0.4049
4.5,8200,0.4492,0.2048,0.3627
5,8200,0.4573,0.2121,0.3644
5.5,8200,0.4542,0.2187,0.3504
3,8400,0.643,-0.0156,0.971
3.5,8400,0.534,0.1518,0.565
4,8400,0.4747,0.1998,0.4073
4.5,8400,0.4395,0.1891,0.3716
5,8400,0.4437,0.192,0.374
5.5,8400,0.4407,0.1977,0.3614
3,8600,0.644,-0.0344,1.0001
3.5,8600,0.5411,0.1675,0.5522
4,8600,0.4735,0.2113,0.3884
4.5,8600,0.4322,0.18,0.3743
5,8600,0.4304,0.1746,0.38
5.5,8600,0.4268,0.1781,0.3699
3,8800,0.6397,-0.0684,1.0439
3.5,8800,0.5403,0.1577,0.5655
4,8800,0.4736,0.2477,0.3346
4.5,8800,0.4308,0.2013,0.3405
5,8800,0.4153,0.1914,0.3326
5.5,8800,0.4079,0.1922,0.3208
3,9000,0.6385,-0.0989,1.0869
3.5,9000,0.5369,0.1349,0.5943
4,9000,0.4727,0.2509,0.3285
4.5,9000,0.4313,0.2127,0.3243
5,9000,0.405,0.185,0.3269
5.5,9000,0.3952,0.1809,0.3185
3,9200,0.6401,-0.1299,1.1348
3.5,9200,0.5329,0.1051,0.6322
4,9200,0.4724,0.2641,0.3085
4.5,9200,0.4422,0.2408,0.2988
5,9200,0.4003,0.1844,0.3207
5.5,9200,0.3859,0.1723,0.3176
3,9400,0.6442,-0.1612,1.187
3.5,9400,0.531,0.076,0.6724
4,9400,0.4682,0.2579,0.3114
4.5,9400,0.4398,0.2398,0.2968
5,9400,0.4022,0.1947,0.3082
5.5,9400,0.3787,0.1676,0.3139
3,9600,0.6514,-0.1948,1.247
3.5,9600,0.5308,0.0467,0.7154
4,9600,0.4598,0.2458,0.3169
4.5,9600,0.4412,0.2565,0.274
5,9600,0.4144,0.2249,0.2815
5.5,9600,0.3753,0.1676,0.3088
3,9800,0.6606,-0.2278,1.3089
3.5,9800,0.5329,0.0135,0.7676
4,9800,0.4537,0.2356,0.3229
4.5,9800,0.4412,0.2583,0.2713
5,9800,0.4171,0.2321,0.2748
5.5,9800,0.3764,0.1738,0.3011
3,10000,0.6714,-0.261,1.3737
3.5,10000,0.5363,-0.0204,0.8227
4,10000,0.4481,0.2247,0.3309
4.5,10000,0.4328,0.2481,0.2739
5,10000,0.42,0.2412,0.2656
5.5,10000,0.3836,0.1919,0.2849
